timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
1749725270006419,163,1,2,3,0,0,0,1,6.87691e-18,4.59163e-41,1.54143e-43,0,0,0
1749725270016582,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270026822,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270037004,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270047113,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270057225,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270067332,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270077454,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270087589,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270097696,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270107861,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270117997,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270128188,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270138346,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270148516,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270158646,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270168753,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270178851,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270188959,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270199051,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270209149,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270219268,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270229397,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270239511,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270249640,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270259759,163,1,2,3,0,0,0,1,0,0,0,0,0,0
1749725270269933,163,1,2,3,0,0,0,1,0,0,0,0,0,0
