timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6843157242286,666,-2.59101,-3.02216,-1.51029,0.0257928,-0.105269,-0.139008,-0.984342,4.59135e-41,122464,-1.54143e-43,0,0,0
6843157253397,666,-2.59217,-3.02095,-1.5103,0.0248088,-0.102294,-0.139523,-0.984609,-0.0747231,0.102664,-0.117149,0,0,0
6843157264509,666,-2.5915,-3.01982,-1.50787,0.0253785,-0.138824,-0.143186,-0.979582,0.20057,-0.155727,1.03806,0,0,0
6843157275638,666,-2.59489,-3.01697,-1.51372,0.0215054,-0.0730857,-0.1355,-0.987844,-0.105393,0.124214,-0.0190983,0,0,0
6843157286749,666,-2.59542,-3.01538,-1.51349,0.0266976,-0.0809934,-0.140569,-0.986391,-0.0929472,0.132984,-0.00304675,0,0,0
6843157297860,666,-2.59607,-3.01398,-1.51353,0.0274772,-0.0785754,-0.144927,-0.985935,-0.022872,0.13912,-0.00856093,0,0,0
6843157308971,666,-2.59753,-3.01345,-1.51151,0.0281047,-0.101383,-0.149929,-0.983083,-0.0823628,0.117643,-0.0255586,0,0,0
6843157320082,666,-2.59906,-3.01231,-1.51197,0.023418,-0.0987868,-0.145329,-0.984161,-0.249835,-0.129231,0.669031,0,0,0
6843157331193,666,-2.59902,-3.00915,-1.51618,0.0262206,-0.054475,-0.137737,-0.988622,-0.066225,0.142536,-0.049422,0,0,0
6843157342305,666,-2.60039,-3.00792,-1.51469,0.0288208,-0.0769588,-0.143831,-0.986184,-0.0805886,0.156285,-0.039436,0,0,0
6843157353415,666,-2.60142,-3.00644,-1.51508,0.0301758,-0.0700508,-0.14291,-0.986792,-0.0803456,0.161163,-0.108415,0,0,0
6843157364527,666,-2.60254,-3.00543,-1.5147,0.0309319,-0.0781028,-0.143572,-0.986068,-0.0822621,0.0934621,-0.0132169,0,0,0
6843157375618,666,-2.60251,-3.00356,-1.51503,0.0341558,-0.0707229,-0.147737,-0.985903,0.0436699,0.183035,-0.0970083,0,0,0
6843157386729,666,-2.60299,-3.00171,-1.51514,0.0314127,-0.0724433,-0.149634,-0.985583,-0.0120604,0.193568,-0.0233268,0,0,0
6843157397840,666,-2.6043,-3.00028,-1.51502,0.0371011,-0.0722985,-0.146631,-0.985848,-0.0853242,0.12275,0.00388423,0,0,0
6843157408952,666,-2.60459,-2.99934,-1.51336,0.0351841,-0.0896143,-0.152124,-0.983661,-0.125517,-0.0605058,0.558606,0,0,0
6843157420063,666,-2.60496,-2.99779,-1.51323,0.0349642,-0.0889687,-0.153426,-0.983526,0.0406805,0.193962,-0.064561,0,0,0
6843157431174,666,-2.60528,-2.99583,-1.51388,0.0397294,-0.083114,-0.153223,-0.983889,-0.0296521,0.192331,-0.108524,0,0,0
6843157442285,666,-2.60506,-2.99278,-1.51537,0.0449265,-0.0718201,-0.147879,-0.985371,0.19894,0.415216,-0.358593,0,0,0
6843157453396,666,-2.60587,-2.99229,-1.51301,0.0415145,-0.0837195,-0.155017,-0.983482,-0.148717,-0.113265,0.704547,0,0,0
6843157464507,666,-2.60573,-2.99063,-1.51267,0.037146,-0.0851887,-0.153388,-0.983786,-0.00206014,0.160562,0.0251294,0,0,0
6843157475618,666,-2.60509,-2.98741,-1.51403,0.0511724,-0.0713044,-0.145254,-0.985494,0.00665254,0.354645,-0.265801,0,0,0
6843157486770,666,-2.60539,-2.98627,-1.51329,0.0440769,-0.0653386,-0.146644,-0.986044,-0.0466536,0.0666971,0.107042,0,0,0
6843157497882,666,-2.60625,-2.9853,-1.51094,0.0468052,-0.0740909,-0.146956,-0.985253,-0.159847,0.00875403,0.407878,0,0,0
6843157508993,666,-2.60514,-2.98243,-1.51336,0.0369363,-0.0607523,-0.148373,-0.986372,0.0874545,0.303259,-0.377217,0,0,0
6843157520104,666,-2.60458,-2.97953,-1.51484,0.0397514,-0.0417062,-0.14089,-0.988347,0.0842361,0.307249,-0.270989,0,0,0
6843157531215,666,-2.60515,-2.97869,-1.51236,0.0419488,-0.0626424,-0.143551,-0.986767,-0.060892,0.0914024,0.119724,0,0,0
6843157542326,666,-2.60477,-2.97683,-1.51226,0.0429773,-0.0611597,-0.141917,-0.987052,-0.0697444,0.12275,0.166614,0,0,0
6843157553437,666,-2.60371,-2.97438,-1.51324,0.0372672,-0.044931,-0.14156,-0.988207,0.0521903,0.136484,0.0597227,0,0,0
6843157564548,666,-2.60439,-2.97398,-1.51034,0.0383857,-0.0674432,-0.144325,-0.986483,-0.0882428,0.0229191,0.262797,0,0,0
6843157575659,666,-2.60269,-2.97109,-1.51294,0.0461836,-0.0398743,-0.136548,-0.988753,0.104638,0.183739,-0.0443789,0,0,0
6843157586725,666,-2.6021,-2.96951,-1.51295,0.0449483,-0.0387956,-0.13395,-0.989208,0.0437461,0.143787,0.0232793,0,0,0
6843157597836,666,-2.60299,-2.96942,-1.50844,0.0361513,-0.0794556,-0.144289,-0.985678,-0.233527,-0.14766,0.798655,0,0,0
6843157608947,666,-2.60122,-2.96681,-1.51198,0.0392867,-0.0387643,-0.132888,-0.989593,0.0559571,0.156714,-0.0104491,0,0,0
6843157620058,666,-2.60152,-2.96574,-1.51032,0.0377424,-0.0526217,-0.13436,-0.988814,-0.0905604,0.0881998,0.261702,0,0,0
6843157631169,666,-2.60088,-2.9643,-1.51034,0.0408434,-0.0529975,-0.134025,-0.988717,0.0510652,0.117364,-0.0235372,0,0,0
6843157642281,666,-2.60031,-2.96266,-1.51044,0.0411666,-0.0485776,-0.132241,-0.98917,-0.037033,0.0703755,0.0940415,0,0,0
6843157653391,666,-2.59946,-2.96171,-1.51105,0.0436008,-0.0380766,-0.137824,-0.988764,0.0705599,0.0863972,-0.0831353,0,0,0
6843157664503,666,-2.59812,-2.95972,-1.51248,0.0542552,-0.0367799,-0.132989,-0.988948,0.056,0.100028,0.00476322,0,0,0
6843157675613,666,-2.59754,-2.95882,-1.51246,0.0539804,-0.0373487,-0.133333,-0.988895,0.0456665,0.0805172,-0.00304729,0,0,0
6843157686726,666,-2.59737,-2.95785,-1.51202,0.0456682,-0.042828,-0.13326,-0.989102,0.0536731,0.0936598,-0.0102756,0,0,0
6843157697837,666,-2.59649,-2.95938,-1.5082,0.0380385,-0.0764879,-0.136995,-0.986882,0.0625656,-0.380328,0.752954,0,0,0
6843157708948,666,-2.59603,-2.95876,-1.50818,0.0386529,-0.0763242,-0.136268,-0.986971,0.0348078,0.0845088,-0.00105153,0,0,0
6843157720059,666,-2.59558,-2.95773,-1.50831,0.0394551,-0.0765625,-0.133953,-0.987238,0.0441564,0.16328,-0.00952644,0,0,0
6843157731170,666,-2.59522,-2.95741,-1.50847,0.0397091,-0.0756088,-0.134238,-0.987262,0.0558814,0.0413316,-0.0260951,0,0,0
6843157742282,666,-2.59472,-2.95704,-1.50874,0.0415445,-0.0753407,-0.133505,-0.987307,0.0237732,0.0036046,-0.0186667,0,0,0
