timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6843197408404,666,0.393563,-0.643344,-1.45921,0.0430685,-0.0069656,-0.740563,-0.670569,4.59163e-41,1.45695e-36,-1.54143e-43,0,0,0
6843197419515,666,0.393929,-0.643181,-1.45915,0.042278,-0.00829004,-0.739198,-0.672109,0.0383847,0.0118222,0.021692,0,0,0
6843197430626,666,0.393938,-0.643164,-1.45948,0.0411788,-0.00992427,-0.737594,-0.673915,-0.0185145,0.000922772,-0.0628129,0,0,0
6843197441737,666,0.39418,-0.64316,-1.45932,0.041717,-0.00833121,-0.735942,-0.675707,0.0112181,-0.00413101,0.0043778,0,0,0
6843197452848,666,0.394283,-0.643206,-1.45936,0.041065,-0.00943142,-0.734466,-0.677336,0.0194319,-0.000482846,0.0213311,0,0,0
6843197463925,666,0.394397,-0.643217,-1.45925,0.0403617,-0.0119238,-0.733049,-0.678873,0.0148583,0.00138391,0.0167356,0,0,0
6843197475036,666,0.394286,-0.643342,-1.45938,0.0407516,-0.0117596,-0.731851,-0.680144,-0.00394253,-0.00278927,-0.00465594,0,0,0
6843197486147,666,0.394103,-0.643523,-1.45952,0.0387148,-0.0122103,-0.730269,-0.681952,-0.0261655,-0.0140322,-0.0291157,0,0,0
6843197497258,666,0.394037,-0.643681,-1.45938,0.0397361,-0.0143996,-0.730143,-0.681986,-0.0304139,-0.0197108,-0.0292497,0,0,0
6843197508369,666,0.39395,-0.643775,-1.45936,0.0394987,-0.0168143,-0.728855,-0.683321,0.0248612,0.00724269,0.0318034,0,0,0
6843197519480,666,0.393518,-0.644046,-1.45943,0.0384245,-0.0167896,-0.729186,-0.683029,-0.0277314,-0.0169533,0.00519328,0,0,0
6843197530591,666,0.393245,-0.644226,-1.4595,0.0378036,-0.0172324,-0.728997,-0.683254,-0.0248666,-0.0136055,-0.00274686,0,0,0
6843197541703,666,0.392965,-0.644393,-1.45946,0.0378643,-0.0179687,-0.72885,-0.68339,-0.0390069,-0.0212092,-0.0224858,0,0,0
6843197552813,666,0.392641,-0.644555,-1.45945,0.0372853,-0.0191353,-0.728408,-0.683861,-0.0249578,-0.0116312,0.00160949,0,0,0
6843197563898,666,0.392223,-0.644708,-1.45961,0.038105,-0.0196051,-0.7289,-0.683277,-0.0437136,-0.0141098,-0.0239492,0,0,0
6843197575010,666,0.391977,-0.64486,-1.45949,0.0361916,-0.0202808,-0.728364,-0.683933,-0.0133832,-0.00885058,0.0156414,0,0,0
6843197586121,666,0.391744,-0.644857,-1.45953,0.0387561,-0.0211356,-0.727385,-0.684808,0.00240843,0.00503142,2.1456e-05,0,0,0
6843197597232,666,0.391447,-0.64498,-1.45959,0.0383678,-0.0214351,-0.727523,-0.684674,-0.0255916,-0.00878621,-0.00899005,0,0,0
6843197608343,666,0.391088,-0.645181,-1.45961,0.0369497,-0.0216612,-0.728277,-0.683943,-0.0233065,-0.00982683,-0.00836782,0,0,0
6843197619454,666,0.391009,-0.64521,-1.45963,0.0369183,-0.0231877,-0.727738,-0.684468,-0.00915097,0.00142682,-0.0195035,0,0,0
6843197630565,666,0.390825,-0.645407,-1.45978,0.0369803,-0.0231374,-0.727681,-0.684528,-0.00579415,-0.00877707,0.0123394,0,0,0
6843197641676,666,0.390647,-0.645638,-1.4599,0.0364581,-0.0238192,-0.727566,-0.684654,-0.0165318,-0.0209088,-0.0106636,0,0,0
6843197652787,666,0.390479,-0.64593,-1.46011,0.0361158,-0.023695,-0.727451,-0.684799,-0.0185381,-0.0295452,-0.0217251,0,0,0
6843197663959,666,0.390383,-0.646226,-1.46025,0.0356305,-0.0238498,-0.727174,-0.685113,-0.0121258,-0.029399,-0.0095308,0,0,0
6843197675069,666,0.39036,-0.646553,-1.46057,0.0341508,-0.0233482,-0.726865,-0.685533,-0.000466835,-0.0339663,-0.0370249,0,0,0
6843197686182,666,0.390434,-0.646795,-1.46081,0.034406,-0.0244304,-0.726344,-0.686035,0.0179372,-0.0152874,-0.0234084,0,0,0
6843197697293,666,0.390392,-0.647132,-1.46089,0.0347248,-0.0231453,-0.726116,-0.686304,0.00210805,-0.022046,-0.0030682,0,0,0
6843197708404,666,0.390429,-0.647363,-1.46111,0.0350775,-0.0222456,-0.726012,-0.686426,0.00283219,-0.020587,-0.0132169,0,0,0
6843197719515,666,0.390267,-0.647683,-1.46127,0.0347437,-0.0221745,-0.727052,-0.685344,-0.0333807,-0.0318893,-0.0141849,0,0,0
