timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6843218174716,666,0.140253,0.187324,-1.48483,0.0796993,-0.0716638,-0.721491,-0.684078,4.59135e-41,2.40747e+17,-1.54143e-43,0,0,0
6843218185827,666,0.139271,0.188337,-1.48502,0.0815973,-0.0689132,-0.721397,-0.684236,-0.0887231,0.0904583,-0.0369686,0,0,0
6843218196938,666,0.137914,0.189282,-1.48562,0.0744026,-0.0686871,-0.721759,-0.684698,-0.153585,0.0797125,-0.106677,0,0,0
6843218208049,666,0.136803,0.190412,-1.48563,0.0755794,-0.0686633,-0.722048,-0.684265,-0.12722,0.104201,-0.0534039,0,0,0
6843218219160,666,0.135753,0.191545,-1.48532,0.0771855,-0.0679881,-0.722074,-0.684126,-0.0993643,0.104442,0.0316532,0,0,0
6843218230271,666,0.134552,0.192932,-1.48536,0.078218,-0.0684199,-0.722508,-0.683508,-0.0890368,0.120127,0.0293141,0,0,0
6843218241383,666,0.13371,0.194665,-1.48471,0.0858605,-0.0738294,-0.72244,-0.682098,-0.083748,0.155462,0.0935694,0,0,0
6843218252558,666,0.132309,0.196436,-1.48504,0.0901967,-0.0762913,-0.723674,-0.679956,-0.104153,0.169439,0.00729634,0,0,0
6843218263670,666,0.131082,0.19848,-1.48512,0.0932156,-0.073285,-0.724771,-0.67871,-0.112236,0.195775,-0.0358529,0,0,0
6843218274781,666,0.130069,0.200789,-1.48452,0.0987289,-0.0708933,-0.725011,-0.677928,-0.0959537,0.213047,0.0612138,0,0,0
6843218285891,666,0.128854,0.203362,-1.48431,0.101757,-0.0722921,-0.725107,-0.67723,-0.108713,0.226642,0.0229191,0,0,0
6843218297003,666,0.127552,0.206386,-1.4841,0.106464,-0.0730904,-0.724858,-0.676686,-0.0900131,0.286633,0.106379,0,0,0
6843218308114,666,0.12592,0.209788,-1.48468,0.105221,-0.0734747,-0.724613,-0.677102,-0.170497,0.310747,-0.0869395,0,0,0
6843218319225,666,0.124951,0.213587,-1.48362,0.111534,-0.0757892,-0.725136,-0.675274,-0.0920465,0.366676,0.0897235,0,0,0
6843218330336,666,0.123028,0.217586,-1.48382,0.106616,-0.0759238,-0.724009,-0.67726,-0.14516,0.377729,-0.0052138,0,0,0
6843218341447,666,0.121495,0.222164,-1.48339,0.107802,-0.078826,-0.72362,-0.677155,-0.13571,0.424619,0.0310468,0,0,0
6843218352544,666,0.119918,0.227214,-1.4833,0.111331,-0.0808234,-0.723489,-0.676488,-0.137391,0.460306,0.0144574,0,0,0
6843218363656,666,0.118571,0.23257,-1.48297,0.111689,-0.0839114,-0.723156,-0.67641,-0.109301,0.487737,0.0215418,0,0,0
6843218374767,666,0.117468,0.238417,-1.4824,0.116089,-0.0867992,-0.723615,-0.674811,-0.0876208,0.527688,0.110133,0,0,0
6843218385877,666,0.116307,0.244495,-1.48214,0.113355,-0.088299,-0.723145,-0.675585,-0.10638,0.557306,0.009614,0,0,0
6843218396989,666,0.115454,0.251029,-1.48192,0.115536,-0.0875298,-0.723041,-0.675427,-0.0843769,0.614507,0.00315403,0,0,0
6843218408100,666,0.114947,0.25791,-1.48143,0.116094,-0.0908106,-0.72264,-0.675327,-0.0564533,0.606512,0.0245456,0,0,0
6843218419211,666,0.114497,0.265344,-1.4807,0.123948,-0.0929867,-0.722321,-0.673975,-0.0601438,0.686618,0.0025108,0,0,0
6843218430322,666,0.114102,0.272997,-1.4801,0.124413,-0.0958183,-0.721701,-0.674158,-0.0333003,0.700062,0.0814615,0,0,0
6843218441434,666,0.113716,0.280944,-1.47988,0.120727,-0.0897811,-0.7208,-0.676618,-0.0631154,0.707859,-0.0256184,0,0,0
6843218452553,666,0.113565,0.289459,-1.47907,0.126074,-0.0949135,-0.720781,-0.674961,0.0279772,0.767576,0.157003,0,0,0
6843218463665,666,0.113289,0.298245,-1.47864,0.127556,-0.0923529,-0.719795,-0.676088,0.0208914,0.805548,0.146759,0,0,0
6843218474776,666,0.113089,0.30735,-1.47761,0.124693,-0.0994137,-0.719212,-0.676242,-0.00726955,0.815927,0.125367,0,0,0
6843218485887,666,0.112926,0.316988,-1.47709,0.128934,-0.091708,-0.718255,-0.677551,-0.0444782,0.886217,0.0756537,0,0,0
6843218496998,666,0.112948,0.326811,-1.47558,0.128145,-0.0947077,-0.717117,-0.678492,-0.0290499,0.89672,0.0787361,0,0,0
6843218508109,666,0.112782,0.337215,-1.47476,0.129267,-0.0925519,-0.716639,-0.679082,-0.0092532,0.94134,0.0862255,0,0,0
6843218519220,666,0.112713,0.347919,-1.47344,0.128994,-0.098059,-0.715874,-0.679168,-0.0117372,0.966786,0.129875,0,0,0
6843218530332,666,0.112637,0.359196,-1.47193,0.132683,-0.0971314,-0.713804,-0.680768,0.0188343,1.02059,0.205891,0,0,0
6843218541443,666,0.112746,0.370701,-1.47103,0.132801,-0.0879545,-0.714094,-0.681688,0.0265263,1.08048,0.0359173,0,0,0
6843218552545,666,0.11221,0.382453,-1.46946,0.127683,-0.0953172,-0.711782,-0.68409,-0.0543596,1.07539,0.095548,0,0,0
6843218563656,666,0.11237,0.394842,-1.46745,0.13391,-0.0934029,-0.710561,-0.684432,0.0141487,1.11573,0.164919,0,0,0
6843218574768,666,0.112231,0.407499,-1.46579,0.130296,-0.0912564,-0.708634,-0.68741,-0.00342759,1.1531,0.148861,0,0,0
6843218585879,666,0.112578,0.420635,-1.46323,0.135614,-0.0973416,-0.707324,-0.686897,0.0532416,1.19033,0.250348,0,0,0
6843218596990,666,0.112602,0.434236,-1.46139,0.137727,-0.0952804,-0.706054,-0.68807,0.0177878,1.22404,0.210896,0,0,0
6843218608101,666,0.112933,0.448298,-1.45876,0.137221,-0.105513,-0.70432,-0.688455,0.038067,1.27603,0.269814,0,0,0
6843218619212,666,0.113269,0.462556,-1.45657,0.140499,-0.0994745,-0.703666,-0.689361,0.0266222,1.28823,0.16464,0,0,0
6843218630323,666,0.113558,0.477358,-1.45453,0.142605,-0.0980109,-0.702542,-0.690285,0.0534752,1.33981,0.269385,0,0,0
6843218641434,666,0.114021,0.492519,-1.4517,0.144036,-0.103037,-0.700943,-0.690881,0.0363167,1.38285,0.266703,0,0,0
6843218652545,666,0.114582,0.507977,-1.44962,0.146657,-0.102355,-0.700254,-0.691129,0.0642681,1.39366,0.263076,0,0,0
6843218663633,666,0.115218,0.523965,-1.44713,0.148022,-0.109185,-0.698365,-0.691704,0.0618401,1.43897,0.434505,0,0,0
6843218674744,666,0.115856,0.54014,-1.44536,0.152394,-0.104266,-0.696966,-0.692923,0.0764556,1.48744,0.195743,0,0,0
6843218685855,666,0.116801,0.556575,-1.44283,0.155083,-0.105381,-0.694621,-0.694511,0.0863763,1.4856,0.228463,0,0,0
6843218696966,666,0.117577,0.573363,-1.44074,0.15659,-0.106608,-0.692642,-0.695961,0.0745581,1.50882,0.214212,0,0,0
6843218708077,666,0.118359,0.590443,-1.43894,0.157794,-0.109783,-0.691092,-0.696736,0.0715878,1.53488,0.173386,0,0,0
6843218719188,666,0.119309,0.607579,-1.43717,0.161069,-0.105036,-0.689514,-0.69828,0.113791,1.53497,0.173116,0,0,0
6843218730300,666,0.120173,0.625018,-1.43549,0.165158,-0.11362,-0.688108,-0.697367,0.0850782,1.57538,0.126419,0,0,0
6843218741410,666,0.121426,0.642544,-1.43487,0.167601,-0.0990433,-0.688315,-0.698801,0.0660319,1.57302,0.0634781,0,0,0
6843218752522,666,0.122651,0.660236,-1.43351,0.170173,-0.100923,-0.687291,-0.698919,0.155294,1.59684,-0.00941916,0,0,0
6843218763657,666,0.123573,0.678079,-1.43173,0.170422,-0.111563,-0.685728,-0.698776,0.0677338,1.61305,0.0936982,0,0,0
6843218774768,666,0.125179,0.696081,-1.4301,0.178325,-0.110229,-0.685375,-0.69736,0.107986,1.60971,0.0617288,0,0,0
6843218785879,666,0.126526,0.714138,-1.4293,0.181364,-0.110402,-0.68428,-0.697623,0.159256,1.64022,0.127815,0,0,0
6843218796990,666,0.127602,0.732291,-1.42901,0.181116,-0.109566,-0.683139,-0.698938,0.0991604,1.61847,0.0361813,0,0,0
6843218808101,666,0.128866,0.750324,-1.42823,0.185318,-0.107307,-0.681837,-0.699458,0.0783142,1.61538,0.0194391,0,0,0
6843218819212,666,0.130248,0.768334,-1.42742,0.192081,-0.11055,-0.681658,-0.697298,0.131439,1.60743,0.117857,0,0,0
6843218830323,666,0.131254,0.785991,-1.42748,0.191679,-0.10962,-0.680698,-0.698493,0.114625,1.58518,0.0504091,0,0,0
6843218841434,666,0.132293,0.803409,-1.42769,0.195564,-0.109862,-0.68062,-0.697453,0.101666,1.56024,-0.0229835,0,0,0
6843218852546,666,0.133172,0.82066,-1.42745,0.198387,-0.11605,-0.680146,-0.696115,0.061474,1.53277,-0.0398866,0,0,0
6843218863640,666,0.134174,0.83783,-1.42746,0.205671,-0.124015,-0.681305,-0.691479,0.0956276,1.507,-0.0154511,0,0,0
6843218874751,666,0.135144,0.854826,-1.42734,0.209142,-0.12595,-0.680863,-0.690523,0.140754,1.54942,0.104898,0,0,0
6843218885862,666,0.13529,0.871833,-1.42798,0.215433,-0.133027,-0.680472,-0.687641,0.0329676,1.51962,-0.00598729,0,0,0
6843218896974,666,0.135173,0.888563,-1.42897,0.210627,-0.132787,-0.680638,-0.689011,-0.032259,1.49188,-0.121119,0,0,0
6843218908084,666,0.13489,0.90539,-1.42939,0.218796,-0.144354,-0.680645,-0.684115,-0.0155047,1.53133,0.097728,0,0,0
6843218919195,666,0.134117,0.921955,-1.43054,0.22108,-0.147737,-0.679655,-0.683643,-0.0233,1.52219,0.026417,0,0,0
6843218930306,666,0.132723,0.938188,-1.4323,0.21549,-0.153424,-0.679298,-0.684528,-0.138628,1.45734,-0.177473,0,0,0
6843218941418,666,0.131725,0.954697,-1.43323,0.218497,-0.166243,-0.677817,-0.682046,-0.181662,1.50806,-0.0059433,0,0,0
6843218952529,666,0.130486,0.971298,-1.43471,0.221182,-0.169795,-0.676212,-0.681899,-0.0731702,1.49973,-0.118566,0,0,0
6843218963644,666,0.128405,0.988076,-1.4368,0.219657,-0.180376,-0.673241,-0.682614,-0.184115,1.49578,-0.199204,0,0,0
6843218974755,666,0.126966,1.00504,-1.43949,0.222392,-0.17905,-0.672748,-0.682564,-0.163969,1.50402,-0.401377,0,0,0
6843218985866,666,0.12504,1.02248,-1.44091,0.227102,-0.19014,-0.669855,-0.680856,-0.125673,1.56596,-0.204325,0,0,0
6843218996977,666,0.12309,1.04013,-1.44329,0.23122,-0.194142,-0.668727,-0.679449,-0.133606,1.59873,-0.184629,0,0,0
6843219008088,666,0.120179,1.05756,-1.44627,0.224029,-0.191072,-0.668504,-0.682938,-0.21712,1.5915,-0.313536,0,0,0
6843219019199,666,0.117342,1.07541,-1.44862,0.221456,-0.195654,-0.668499,-0.682485,-0.26475,1.60167,-0.290416,0,0,0
6843219030310,666,0.114837,1.09341,-1.45162,0.221775,-0.191352,-0.670811,-0.681332,-0.20497,1.6334,-0.333747,0,0,0
