timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6843072949123,666,-2.90724,-3.21368,-0.0564274,-0.00448607,0.0071397,-0.00782538,-0.999934,4.59135e-41,8.71994,-1.54143e-43,0,0,0
6843072960234,666,-2.9072,-3.21368,-0.0563943,-0.00461021,0.00726972,-0.0074692,-0.999935,0.0202115,-0.0614928,0.0720189,0,0,0
6843072971300,666,-2.90724,-3.21365,-0.0564229,-0.00372045,0.00858773,-0.00698371,-0.999932,0.00549371,-0.0306446,0.0389683,0,0,0
6843072982412,666,-2.90726,-3.21356,-0.0565235,-0.00291106,0.00892027,-0.00693119,-0.999932,0.00566437,-0.00411954,0.00702951,0,0,0
6843072993523,666,-2.9073,-3.21354,-0.0565834,-0.00228508,0.00859956,-0.00690313,-0.999937,0.00527817,-0.0314973,0.0463207,0,0,0
6843073004634,666,-2.90732,-3.21345,-0.056626,-0.00336962,0.00971716,-0.00661481,-0.999925,-0.0168644,-0.0039479,0.00698928,0,0,0
6843073015745,666,-2.9073,-3.21341,-0.0567977,-0.00810583,0.00485977,-0.00754472,-0.999927,0.000772414,-0.0162636,0.0054773,0,0,0
6843073026856,666,-2.90732,-3.21332,-0.0568865,-0.00835307,0.0063313,-0.00753792,-0.999917,-0.0069959,0.0284986,-0.0535194,0,0,0
6843073037967,666,-2.90728,-3.21343,-0.0566328,-0.00355616,0.00985144,-0.00621303,-0.999926,0.00459157,-0.00424828,0.0299109,0,0,0
6843073049078,666,-2.90729,-3.21345,-0.0566207,-0.00299209,0.00954339,-0.00664429,-0.999928,0.0041632,-0.0166528,0.0401795,0,0,0
6843073060189,666,-2.90727,-3.21355,-0.0565218,-0.00395333,0.00773457,-0.00767536,-0.999933,0.0113287,-0.023859,0.0516713,0,0,0
6843073071332,666,-2.90726,-3.21349,-0.0566834,-0.00916458,0.00477959,-0.00779923,-0.999916,0.00854101,-0.0106011,0.0122428,0,0,0
6843073082444,666,-2.9073,-3.21337,-0.0568666,-0.00710061,0.00760144,-0.00649337,-0.999925,0.00463449,0.00643679,-0.0118484,0,0,0
6843073093555,666,-2.90736,-3.21337,-0.0568372,-0.00716655,0.00710705,-0.00690893,-0.999925,-0.00909733,0.00836782,-0.0022683,0,0,0
6843073104666,666,-2.90725,-3.21362,-0.0565021,-0.00367719,0.00922443,-0.00676524,-0.999928,0.0072092,-0.0339004,0.0279625,0,0,0
6843073115777,666,-2.90732,-3.21328,-0.0569116,-0.00823915,0.00713289,-0.0067111,-0.999918,0.00120175,-0.166357,0.147815,0,0,0
6843073126888,666,-2.90728,-3.21346,-0.0567445,-0.0083446,0.0057667,-0.00748915,-0.999921,-0.0161349,0.0169502,-0.0318165,0,0,0
6843073137999,666,-2.9073,-3.21359,-0.0565469,-0.00319008,0.00896886,-0.00689975,-0.999931,0.00231766,-0.0509885,0.0611571,0,0,0
6843073149110,666,-2.90725,-3.21363,-0.0565017,-0.00310091,0.00793177,-0.00702599,-0.999939,0.00158803,-0.0127042,0.0104898,0,0,0
6843073160221,666,-2.90732,-3.21328,-0.056873,-0.00852021,0.00732495,-0.00672008,-0.999914,-0.00188846,0.0296145,-0.0184957,0,0,0
6843073171324,666,-2.90721,-3.2136,-0.0564909,-0.00352655,0.00814515,-0.0069678,-0.999936,0.0176224,-0.0293994,0.0444308,0,0,0
6843073182435,666,-2.90727,-3.21342,-0.0567996,-0.00792721,0.00709059,-0.0066578,-0.999921,0.00562247,-0.0168245,0.019232,0,0,0
