timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
7272159704717,888,-1.57938,-1.10182,-1.4325,0.0423777,-0.100582,-0.668056,-0.736063,4.59135e-41,-1.13305e-16,-1.54143e-43,0,0,0
7272159714717,888,-1.57938,-1.10183,-1.4325,0.0425278,-0.100376,-0.668011,-0.736123,-3.57628e-05,-0.00143051,0.000274181,0,0,0
7272159724717,888,-1.57937,-1.10184,-1.4325,0.0427652,-0.1002,-0.668123,-0.736031,0.000667572,-8.34465e-05,-0.000345707,0,0,0
7272159734717,888,-1.57937,-1.10183,-1.43255,0.0425994,-0.100451,-0.668112,-0.736017,-0.000202656,0.000274181,-0.0041008,0,0,0
7272159744717,888,-1.57935,-1.10182,-1.43251,0.0426511,-0.100426,-0.668044,-0.73608,0.00238419,0.00171661,0.00352859,0,0,0
7272159764717,888,-1.57936,-1.10182,-1.4325,0.0426605,-0.100274,-0.668021,-0.73612,-0.000250239,0.00121545,0.00256197,0,0,0
7272159774717,888,-1.57938,-1.10182,-1.43251,0.0425309,-0.100514,-0.668064,-0.736057,-0.00114441,0.000834465,-0.00132322,0,0,0
7272159794716,888,-1.57937,-1.10182,-1.43252,0.0425472,-0.100656,-0.66808,-0.736021,-0.00152588,-0.000226498,-0.000989437,0,0,0
7272159804716,888,-1.57937,-1.10183,-1.43252,0.0418945,-0.100633,-0.668046,-0.736093,9.53674e-05,-0.00101328,1.19209e-05,0,0,0
7272159814716,888,-1.57935,-1.10184,-1.43248,0.0426195,-0.100427,-0.668111,-0.73602,0.00253916,-0.000333786,0.00413656,0,0,0
7272159824716,888,-1.57938,-1.10182,-1.43251,0.042211,-0.100533,-0.667947,-0.736178,-0.0038743,0.00207424,-0.00294447,0,0,0
7272159834716,888,-1.57937,-1.10181,-1.43253,0.0423015,-0.100605,-0.668035,-0.736083,0.00162125,0.000309944,-0.00181198,0,0,0
7272159844716,888,-1.57937,-1.10183,-1.43252,0.0424289,-0.100478,-0.668001,-0.736124,-0.000393391,-0.00191927,0.000917912,0,0,0
7272159854716,888,-1.57936,-1.10183,-1.43251,0.0425181,-0.100497,-0.66808,-0.736044,0.00133514,1.19209e-05,0.0012517,0,0,0
7272159864716,888,-1.57938,-1.10185,-1.4325,0.0424476,-0.100387,-0.668009,-0.736128,-0.00225306,-0.00164509,0.000226498,0,0,0
7272159874716,888,-1.57938,-1.10183,-1.43251,0.0422344,-0.100716,-0.668053,-0.736055,0.000429153,0.00225306,-0.000917912,0,0,0
7272159884716,888,-1.57938,-1.10183,-1.43253,0.0422144,-0.100596,-0.668123,-0.73601,0.000107288,-0.000417233,-0.00206232,0,0,0
7272159894722,888,-1.57937,-1.10183,-1.43251,0.0421282,-0.100704,-0.668051,-0.736065,8.33965e-05,0.00019062,0.00274017,0,0,0
7272159914722,888,-1.57937,-1.10184,-1.43249,0.0425353,-0.100433,-0.668005,-0.736121,0.000667505,-0.00237203,0.00357592,0,0,0
7272159924722,888,-1.57938,-1.10183,-1.43254,0.0425797,-0.100261,-0.668137,-0.736021,-0.000691414,0.000679493,-0.00460148,0,0,0
7272159934722,888,-1.57938,-1.10182,-1.43252,0.0424356,-0.100358,-0.668115,-0.736036,-0.000190735,0.00119209,0.00134706,0,0,0
7272159954722,888,-1.57937,-1.10184,-1.43252,0.0424491,-0.100401,-0.668094,-0.736049,0.000929739,-0.00139461,0.00119197,0,0,0
7272159964722,888,-1.57937,-1.10184,-1.43253,0.0423781,-0.100587,-0.668054,-0.736064,-0.000238419,-7.15256e-05,-0.000905991,0,0,0
7272159974722,888,-1.57936,-1.10183,-1.43251,0.0422878,-0.10066,-0.668056,-0.736058,0.00122786,0.000667572,0.00170469,0,0,0
7272159994722,888,-1.57937,-1.10181,-1.43255,0.0421276,-0.100691,-0.668072,-0.736047,-4.76789e-05,0.00307529,-0.00456526,0,0,0
7272160004726,888,-1.57936,-1.10184,-1.4325,0.0423577,-0.100512,-0.668088,-0.736045,0.00159677,-0.0026573,0.00490946,0,0,0
7272160014726,888,-1.57938,-1.10181,-1.43252,0.0422053,-0.10072,-0.668124,-0.735992,-0.00187159,0.00213385,-0.00261068,0,0,0
7272160024726,888,-1.57937,-1.10183,-1.43251,0.0423731,-0.100865,-0.668041,-0.736038,0.000691414,-0.00133514,0.00168085,0,0,0
7272160034726,888,-1.57937,-1.10182,-1.43253,0.0422582,-0.100633,-0.667986,-0.736126,-0.000119209,0.000572205,-0.0020504,0,0,0
7272160044726,888,-1.57937,-1.10181,-1.43254,0.0422794,-0.100641,-0.668071,-0.736047,-0.000119209,0.00127554,-0.000715256,0,0,0
7272160054726,888,-1.57936,-1.10183,-1.43251,0.0424837,-0.100366,-0.668072,-0.736071,0.000882149,-0.00236034,0.00220537,0,0,0
7272160064726,888,-1.57937,-1.10183,-1.43251,0.0424392,-0.100679,-0.668024,-0.736075,-0.000548363,0.000739098,0.000822544,0,0,0
7272160074726,888,-1.57938,-1.10182,-1.43252,0.0424934,-0.100494,-0.668081,-0.736046,-0.000905991,0.000679493,-0.000989437,0,0,0
7272160084726,888,-1.57937,-1.10184,-1.43252,0.0423903,-0.100537,-0.668151,-0.735982,0.000274181,-0.00219345,-0.00038147,0,0,0
7272160094726,888,-1.57938,-1.10184,-1.43251,0.0425044,-0.100557,-0.668027,-0.736085,-0.00101328,0.000369549,0.00116825,0,0,0
7272160114702,888,-1.57937,-1.10184,-1.43251,0.0421116,-0.100797,-0.668075,-0.736031,0.0005126,-0.000798702,0.00119209,0,0,0
7272160124702,888,-1.57937,-1.10184,-1.43252,0.0423805,-0.100538,-0.668049,-0.736075,9.53674e-05,5.96046e-05,-0.00038147,0,0,0
7272160134702,888,-1.57936,-1.10182,-1.43254,0.0424875,-0.100442,-0.668004,-0.736123,0.000739098,0.00143051,-0.00208616,0,0,0
