timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6304801985219,156,0.0434317,0.0283681,-0.104682,-0.00363962,0.00540428,-0.0321517,-0.999462,4.59121e-41,1.29154e+29,-1.54143e-43,0,0,0
6304801996330,156,0.0429979,0.0286925,-0.105971,0.00738507,0.0175299,-0.0284036,-0.999416,0.012788,0.00874454,0.00500148,0,0,0
6304802007440,156,0.0430819,0.0287422,-0.105785,0.0072631,0.0136678,-0.0270174,-0.999515,-0.0216481,0.019655,-0.0408736,0,0,0
6304802018552,156,0.0430807,0.0287136,-0.105792,0.00820542,0.0141195,-0.0270931,-0.999499,-0.00169734,-0.0243046,0.00640039,0,0,0
6304802029663,156,0.0429761,0.0286412,-0.105991,0.00754186,0.0167082,-0.0280788,-0.999438,-0.0242067,-0.0222776,-0.0401916,0,0,0
6304802040774,156,0.0431036,0.0286946,-0.105893,0.00818276,0.0140551,-0.0267347,-0.99951,-0.105331,0.0380905,0.453848,0,0,0
6304802051886,156,0.0429669,0.0286779,-0.106063,0.00783291,0.0170165,-0.0278453,-0.999437,-0.133637,0.0267566,0.448037,0,0,0
6304802062996,156,0.0430589,0.0286526,-0.105678,0.0071453,0.0132838,-0.0278773,-0.999498,0.30266,0.514984,-0.877469,0,0,0
6304802074108,156,0.0431105,0.0288068,-0.105685,0.00969298,0.0137114,-0.0261101,-0.999518,-0.00132021,0.00555676,0.00974771,0,0,0
6304802085240,156,0.0434049,0.0287998,-0.106417,0.00887105,0.00702317,-0.0273984,-0.999561,0.0781721,0.0285083,-0.0833524,0,0,0
6304802096351,156,0.0433935,0.028208,-0.109008,0.00436077,0.000659249,-0.0257086,-0.99966,0.0569644,-0.0895156,-0.582948,0,0,0
6304802107463,156,0.0428886,0.0286857,-0.106042,0.0069554,0.017491,-0.0285667,-0.999415,0.068942,0.185212,0.0419947,0,0,0
6304802118574,156,0.0429716,0.0287046,-0.106039,0.00824068,0.0167706,-0.0282274,-0.999427,-0.0643491,0.0729938,0.592384,0,0,0
6304802129684,156,0.0431022,0.0287731,-0.105746,0.00919326,0.0140171,-0.025855,-0.999525,0.0114039,0.00112563,0.178605,0,0,0
6304802140796,156,0.0430799,0.0286172,-0.105573,0.00646921,0.0125943,-0.0283408,-0.999498,0.294409,0.492052,-0.826778,0,0,0
6304802151907,156,0.0429385,0.0287043,-0.10603,0.00821817,0.0180948,-0.0278767,-0.999414,-0.0352635,-0.0152207,-0.0356759,0,0,0
6304802163018,156,0.0429779,0.0286133,-0.106053,0.00750608,0.0170193,-0.0284295,-0.999423,-0.0121219,-0.00553396,-0.0194056,0,0,0
6304802174128,156,0.0430871,0.0288107,-0.105793,0.00957972,0.0145892,-0.0260456,-0.999508,0.00180295,0.0256652,-0.0298506,0,0,0
6304802185220,156,0.0413382,0.0258156,-0.10106,-0.0644573,-0.0188604,-0.0825846,-0.994318,-0.333723,-0.521735,0.870326,0,0,0
6304802196331,156,0.0431323,0.0288406,-0.105709,0.0103988,0.0138528,-0.0257141,-0.999519,0.053542,0.0436163,0.0416983,0,0,0
6304802207442,156,0.043098,0.0287359,-0.105702,0.00933651,0.0138499,-0.0262683,-0.999515,0.000391571,-0.0138079,0.00482759,0,0,0
