timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6309709114165,166,-0.252736,-1.76323,-0.0301384,-0.0314548,-0.0203079,0.70696,0.706262,4.59135e-41,1.28549e-20,-1.54143e-43,0,0,0
6309709125276,166,-0.252748,-1.76321,-0.0301566,-0.0315117,-0.0200632,0.706778,0.706449,-0.00547127,0.00248889,0.00162495,0,0,0
6309709136387,166,-0.252899,-1.76321,-0.0303057,-0.0327193,-0.017754,0.708406,0.704823,-0.0229806,-0.00274587,-0.0264467,0,0,0
6309709147498,166,-0.25288,-1.76321,-0.0303024,-0.0327828,-0.0174084,0.708572,0.704662,-0.00216744,0.00130905,-0.000227005,0,0,0
6309709158609,166,-0.252898,-1.76318,-0.0303251,-0.0328898,-0.0169722,0.708209,0.705032,-0.0305641,0.00927064,-0.030034,0,0,0
6309709169721,166,-0.25292,-1.76319,-0.0303668,-0.0327605,-0.0172253,0.708219,0.705022,-0.00298828,0.00420612,-0.00734999,0,0,0
6309709180833,166,-0.252764,-1.76321,-0.0301534,-0.0320874,-0.0203894,0.707031,0.70616,-0.00236552,-0.00148046,0.00815796,0,0,0
6309709191944,166,-0.252893,-1.76321,-0.0303431,-0.033884,-0.0179983,0.708446,0.704722,-0.00545419,0.00594223,-0.00723975,0,0,0
6309709203055,166,-0.252904,-1.76323,-0.030324,-0.0331953,-0.0174401,0.70847,0.704744,-3.21839e-05,0.00257471,0.00271988,0,0,0
6309709214166,166,-0.2529,-1.76321,-0.0303799,-0.0329415,-0.0175343,0.708427,0.704797,-0.00679203,0.00285416,-0.00914456,0,0,0
6309709225277,166,-0.252901,-1.76319,-0.0302744,-0.0319282,-0.0166745,0.70851,0.704781,-0.006941,0.0061364,0.0105262,0,0,0
6309709236388,166,-0.252912,-1.76319,-0.0303404,-0.0328772,-0.0180984,0.708315,0.704898,-0.0199147,0.00111591,-0.0288061,0,0,0
6309709247499,166,-0.252756,-1.76321,-0.0301727,-0.0314768,-0.0210661,0.706683,0.706516,-0.00114274,-0.00188846,-0.00280755,0,0,0
6309709258611,166,-0.252905,-1.76319,-0.0303262,-0.0319728,-0.0165754,0.708302,0.704991,-0.00657507,-0.00394719,0.0026966,0,0,0
6309709269722,166,-0.252719,-1.76324,-0.0301994,-0.031388,-0.0206116,0.706741,0.706475,0.0322751,-0.0101701,0.0301969,0,0,0
6309709280833,166,-0.252884,-1.76319,-0.0303038,-0.031952,-0.0166225,0.708309,0.704983,-0.00326189,0.00824057,0.0094326,0,0,0
6309709291944,166,-0.25277,-1.76319,-0.0301607,-0.0311236,-0.0198822,0.706812,0.706436,0.0301564,-0.0044851,0.0423617,0,0,0
6309709303055,166,-0.252744,-1.76315,-0.0301906,-0.0304257,-0.0199597,0.706997,0.70628,0.0185862,0.0151264,0.0222907,0,0,0
6309709314167,166,-0.252886,-1.76323,-0.0303489,-0.0335339,-0.0175926,0.708532,0.704662,-0.00168966,-0.00124445,-0.00434818,0,0,0
6309709325277,166,-0.252907,-1.76322,-0.0303502,-0.0335148,-0.0176145,0.708331,0.704864,-0.00286489,-0.00210306,0.00367231,0,0,0
6309709336388,166,-0.252895,-1.76319,-0.0303359,-0.0324547,-0.0178252,0.708375,0.704864,0.00332091,-0.00203868,0.00388154,0,0,0
6309709347500,166,-0.252734,-1.76321,-0.0301628,-0.0311311,-0.0198691,0.706712,0.706537,0.00146437,0.00220996,0.00706203,0,0,0
6309709358611,166,-0.252795,-1.76318,-0.0301892,-0.0312252,-0.0200874,0.706706,0.706532,-0.0104866,0.00010728,-0.00165647,0,0,0
6309709369693,166,-0.252923,-1.76318,-0.0303802,-0.0324092,-0.0173593,0.708283,0.70497,-0.00608343,0.00906042,-0.00425651,0,0,0
6309709380804,166,-0.252867,-1.76322,-0.0303374,-0.0326621,-0.0181262,0.708237,0.704986,-0.0248612,-0.00609459,-0.0311992,0,0,0
6309709391915,166,-0.252705,-1.76325,-0.0302059,-0.0310972,-0.0197494,0.706764,0.70649,0.0119478,-0.00935648,-0.00777449,0,0,0
