timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6324422184413,168,-2.61843,-2.31113,-1.8389,-0.0200202,0.0778977,0.182487,-0.979913,4.59135e-41,9.22388e-11,-1.54143e-43,0,0,0
6324422195524,168,-2.61981,-2.3117,-1.83915,-0.0210567,0.0778677,0.182378,-0.979914,-0.145128,-0.0245885,-0.0219709,0,0,0
6324422206635,168,-2.62127,-2.31218,-1.83925,-0.0224347,0.0775284,0.182562,-0.979876,-0.127663,-0.0463878,-0.00708047,0,0,0
6324422217746,168,-2.62282,-2.31266,-1.83938,-0.0242646,0.0780402,0.182138,-0.979871,-0.139078,-0.0379341,-0.0163924,0,0,0
6324422228857,168,-2.62433,-2.31308,-1.83951,-0.024832,0.0775003,0.18208,-0.97991,-0.138244,-0.0374688,-0.00877707,0,0,0
6324422239920,168,-2.62584,-2.31338,-1.83957,-0.0259119,0.0776776,0.182313,-0.979825,-0.14183,-0.0275348,-0.00487055,0,0,0
6324422251032,168,-2.62733,-2.31371,-1.8395,-0.0273743,0.0786516,0.182247,-0.97972,-0.138133,-0.0305533,0.00388353,0,0,0
6324422262142,168,-2.62883,-2.31396,-1.83947,-0.0268375,0.0791905,0.182065,-0.979725,-0.133823,-0.0239492,0.00952816,0,0,0
6324422273254,168,-2.63041,-2.31424,-1.83938,-0.0263031,0.0782504,0.182684,-0.9797,-0.147789,-0.0227862,0.00841074,0,0,0
6324422284365,168,-2.63196,-2.31439,-1.83938,-0.0267099,0.0782576,0.183698,-0.979499,-0.139292,-0.00909733,-0.00193104,0,0,0
6324422295476,168,-2.63348,-2.31449,-1.83948,-0.0268087,0.077965,0.184388,-0.979389,-0.131268,-0.0136889,0.00742376,0,0,0
6324422306587,168,-2.63509,-2.31459,-1.83938,-0.0265122,0.0776373,0.1849,-0.979327,-0.139532,-0.0072105,0.0166314,0,0,0
6324422317698,168,-2.63656,-2.31475,-1.8394,-0.0262303,0.0766599,0.185885,-0.979225,-0.125969,-0.0122321,0.00727488,0,0,0
6324422328809,168,-2.63796,-2.31484,-1.83949,-0.0252791,0.0758099,0.187029,-0.979099,-0.123458,-0.00858238,-0.0124874,0,0,0
6324422339921,168,-2.63963,-2.31481,-1.83988,-0.0255066,0.0751826,0.188245,-0.978908,-0.156414,0.00158774,-0.0436629,0,0,0
6324422351080,168,-2.64108,-2.31487,-1.84018,-0.0244479,0.0735269,0.190046,-0.978713,-0.127257,-0.00660962,-0.0243354,0,0,0
6324422362191,168,-2.64241,-2.31497,-1.84046,-0.0248949,0.0735334,0.190998,-0.978516,-0.137772,0.0209877,-0.0267389,0,0,0
6324422373303,168,-2.64366,-2.31524,-1.84079,-0.0226175,0.0702215,0.193584,-0.978306,-0.103032,-0.0372475,-0.0154697,0,0,0
6324422384414,168,-2.64525,-2.31535,-1.8411,-0.022975,0.0694801,0.193844,-0.978299,-0.158173,0.00090115,-0.021692,0,0,0
6324422395525,168,-2.64659,-2.31553,-1.84136,-0.0249394,0.0696712,0.194787,-0.97805,-0.118737,-0.0220138,-0.0272276,0,0,0
6324422406635,168,-2.64785,-2.31574,-1.84156,-0.0249008,0.0671015,0.197459,-0.977695,-0.119145,-0.0214169,-0.0211165,0,0,0
6324422417746,168,-2.64914,-2.31604,-1.8417,-0.0261779,0.0664086,0.198125,-0.977574,-0.120432,-0.0250221,-0.0120604,0,0,0
6324422428858,168,-2.65041,-2.3164,-1.84178,-0.0264765,0.0646878,0.199233,-0.977456,-0.108438,-0.0367326,-0.0105992,0,0,0
6324422439969,168,-2.65158,-2.31683,-1.84172,-0.0274662,0.0636183,0.200403,-0.97726,-0.106569,-0.0378551,0.00772553,0,0,0
6324422451054,168,-2.6527,-2.31723,-1.84157,-0.0296221,0.0635172,0.201557,-0.976966,-0.103319,-0.0324705,0.0150925,0,0,0
6324422462164,168,-2.6538,-2.31769,-1.84149,-0.0306111,0.0618574,0.203327,-0.976676,-0.102492,-0.0345932,0.0101076,0,0,0
6324422473276,168,-2.65479,-2.31817,-1.84123,-0.0311947,0.0604671,0.20537,-0.976316,-0.083292,-0.0374192,0.0355954,0,0,0
6324422484387,168,-2.65578,-2.31859,-1.84095,-0.0311583,0.0599801,0.206864,-0.976032,-0.0817472,-0.0408951,0.0399939,0,0,0
6324422495498,168,-2.65676,-2.319,-1.84065,-0.0325752,0.061003,0.20723,-0.975845,-0.0872828,-0.0397364,0.0263908,0,0,0
6324422506609,168,-2.65766,-2.31952,-1.8403,-0.0343494,0.0622259,0.207746,-0.975597,-0.0772983,-0.0476408,0.0419969,0,0,0
6324422517720,168,-2.65854,-2.32004,-1.84006,-0.0358772,0.063744,0.208479,-0.975288,-0.0748813,-0.0439418,0.0191602,0,0,0
6324422528831,168,-2.65929,-2.32042,-1.83967,-0.0342785,0.0634027,0.209954,-0.975051,-0.0658698,-0.0367326,0.0357027,0,0,0
6324422539942,168,-2.65996,-2.32085,-1.83928,-0.0338521,0.064547,0.210826,-0.974803,-0.0636069,-0.0400869,0.0342928,0,0,0
6324422551053,168,-2.66059,-2.32119,-1.83888,-0.0326196,0.065803,0.211934,-0.97452,-0.0565252,-0.0292283,0.0338636,0,0,0
6324422562167,168,-2.66117,-2.32147,-1.83856,-0.0310253,0.0668659,0.212949,-0.974279,-0.0530391,-0.0229579,0.0257901,0,0,0
6324422573278,168,-2.66167,-2.32166,-1.83816,-0.0283654,0.0680207,0.21411,-0.974025,-0.0489196,-0.0142468,0.0235372,0,0,0
6324422584390,168,-2.66211,-2.32176,-1.8378,-0.0257072,0.0697009,0.21478,-0.973833,-0.0360889,-0.00441993,0.0369472,0,0,0
6324422595500,168,-2.66253,-2.32176,-1.83763,-0.0231407,0.0718333,0.215486,-0.973586,-0.0387135,0.00231766,0.00549371,0,0,0
