timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6665860700587,167,-1.0149,-2.47889,-2.78647,0.116625,-0.166732,-0.767915,-0.607376,4.59149e-41,9.65401e-30,-1.54143e-43,0,0,0
6665860711693,167,-1.01491,-2.47889,-2.78648,0.116459,-0.16718,-0.767868,-0.607345,0.0005155,0.00455358,-0,0,0,0
6665860722805,167,-1.01491,-2.47889,-2.78648,0.11678,-0.166968,-0.767834,-0.607384,0.00130881,0.000944062,-0.00562146,0,0,0
6665860733916,167,-1.01491,-2.47888,-2.78644,0.116481,-0.166795,-0.767901,-0.607404,0.000879694,-0.00334713,0.00133027,0,0,0
6665860745027,167,-1.01491,-2.47886,-2.7865,0.116618,-0.166262,-0.76804,-0.607348,0.00143755,0.00304675,-0.00291801,0,0,0
6665860756138,167,-1.01491,-2.47885,-2.78649,0.116847,-0.166755,-0.767925,-0.607314,0.00261763,0.00347587,-0.00304675,0,0,0
6665860767249,167,-1.01492,-2.47888,-2.78646,0.116634,-0.166901,-0.767898,-0.60735,-0.00547127,0.00266054,0.00742376,0,0,0
6665860778360,167,-1.0149,-2.47885,-2.78647,0.116492,-0.167029,-0.767954,-0.60727,0.000429196,0.00660962,0.000429196,0,0,0
6665860789471,167,-1.01489,-2.47887,-2.78648,0.116355,-0.166647,-0.768009,-0.607332,0.000729634,-0.00150219,0.00424904,0,0,0
6665860800582,167,-1.01488,-2.47886,-2.78648,0.116594,-0.166695,-0.767968,-0.607325,0.00311111,0.00193104,-0.00102989,0,0,0
6665860811694,167,-1.01488,-2.4789,-2.78648,0.116792,-0.166652,-0.767957,-0.607313,0.000708047,-0.00154483,0.00489196,0,0,0
6665860822769,167,-1.01488,-2.47888,-2.78649,0.116693,-0.166423,-0.767915,-0.607448,0.000450575,0.00128736,-0.000257471,0,0,0
6665860833880,167,-1.01489,-2.47887,-2.78649,0.116524,-0.16651,-0.768018,-0.607327,-0.00139464,0.00712338,-0.00369042,0,0,0
6665860844991,167,-1.01489,-2.47887,-2.78647,0.11661,-0.16698,-0.767808,-0.607447,6.43794e-05,-0.0019743,0.000944232,0,0,0
6665860856102,167,-1.01487,-2.47888,-2.78645,0.116573,-0.167013,-0.767906,-0.60732,0.0026181,0.00107299,0.00450656,0,0,0
6665860867213,167,-1.01492,-2.47886,-2.78646,0.11678,-0.16632,-0.767975,-0.607383,-0.00540787,0.00746802,0.00519328,0,0,0
6665860878324,167,-1.01489,-2.47888,-2.78646,0.116781,-0.166845,-0.767937,-0.607287,0.00326189,-0.00253226,-0.00386277,0,0,0
6665860889436,167,-1.01489,-2.47888,-2.78646,0.116874,-0.167094,-0.767798,-0.607377,-0.00152337,0.000600767,0.000986974,0,0,0
6665860900547,167,-1.01488,-2.4789,-2.78647,0.116792,-0.166743,-0.767964,-0.607279,0.00366897,-0.00326131,-0.000343295,0,0,0
6665860911658,167,-1.0149,-2.47888,-2.78647,0.116689,-0.167207,-0.767833,-0.607336,-0.000708047,0.00163065,0.000128736,0,0,0
6665860922799,167,-1.01491,-2.47888,-2.78647,0.116599,-0.166797,-0.767933,-0.60734,-0.00173825,0.00188846,-0.000472116,0,0,0
6665860933911,167,-1.0149,-2.47888,-2.78649,0.116691,-0.166714,-0.767901,-0.607386,-0.00120153,-0.000772414,-0.00227433,0,0,0
6665860945022,167,-1.01492,-2.4789,-2.78648,0.116683,-0.166539,-0.768011,-0.607297,-0.00358314,-0.00351878,-0.00111571,0,0,0
6665860956133,167,-1.0149,-2.4789,-2.78649,0.116662,-0.166848,-0.767829,-0.607445,0.0037977,-0.00158774,-0.00446284,0,0,0
6665860967244,167,-1.01491,-2.47888,-2.78652,0.116713,-0.167054,-0.76778,-0.607441,0.000128736,0.00124445,-0.00858238,0,0,0
6665860978355,167,-1.01493,-2.47887,-2.78648,0.116554,-0.166845,-0.767948,-0.607316,-0.00107299,-0.000600875,-0.00248934,0,0,0
6665860989466,167,-1.01492,-2.4789,-2.78647,0.116706,-0.166756,-0.767894,-0.60738,0.00253226,-0.0052362,0.00506452,0,0,0
6665861000578,167,-1.0149,-2.47888,-2.7865,0.116605,-0.166994,-0.767831,-0.607414,0.0034115,0.00266054,-0.00308966,0,0,0
6665861011689,167,-1.0149,-2.47887,-2.78651,0.116713,-0.166854,-0.767961,-0.607268,-0.00139464,0.00343295,-0.00351878,0,0,0
6665861022801,167,-1.01491,-2.47886,-2.78647,0.116512,-0.16634,-0.768011,-0.607383,0.00326072,0.00081518,-0.00266006,0,0,0
6665861033912,167,-1.01493,-2.47889,-2.78647,0.116554,-0.166922,-0.76791,-0.607344,2.14598e-05,-0.00278978,0.00381985,0,0,0
6665861045023,167,-1.0149,-2.47885,-2.78646,0.11651,-0.16677,-0.767885,-0.607426,0.00109445,0.00570831,0.00356233,0,0,0
6665861056134,167,-1.01489,-2.47888,-2.78649,0.11664,-0.16668,-0.768034,-0.607238,0.00321839,-0.00369042,-0.00197395,0,0,0
6665861067245,167,-1.01491,-2.47886,-2.78649,0.116568,-0.167023,-0.767827,-0.607418,-0.00315403,0.000986974,-0.00257471,0,0,0
6665861078356,167,-1.01488,-2.47889,-2.78649,0.116594,-0.1669,-0.767886,-0.607373,0.000579415,8.58393e-05,0.000300437,0,0,0
6665861089467,167,-1.0149,-2.47888,-2.78648,0.116349,-0.167128,-0.767867,-0.60738,0.000965692,-0.00137343,0.000729634,0,0,0
6665861100579,167,-1.01488,-2.47888,-2.78648,0.116437,-0.166709,-0.767916,-0.607418,0.00169502,-0.00266054,-0.000472031,0,0,0
6665861111689,167,-1.01488,-2.47889,-2.78646,0.11653,-0.166941,-0.767882,-0.607379,-0.000278978,-0.000643794,0.00257518,0,0,0
6665861122801,167,-1.01489,-2.4789,-2.78646,0.116622,-0.166621,-0.768048,-0.607239,-0.00251035,-0.00167356,-0.00141609,0,0,0
6665861133879,167,-1.01488,-2.47889,-2.78647,0.116552,-0.167055,-0.767892,-0.60733,0.000815473,0.00244642,0.000171679,0,0,0
6665861144990,167,-1.01488,-2.47889,-2.78646,0.116388,-0.167021,-0.767847,-0.607428,0.00103007,-0.000472116,0.00171679,0,0,0
6665861156102,167,-1.01487,-2.4789,-2.78649,0.116817,-0.167241,-0.767733,-0.60743,0.00384062,-0.000429119,-0.00411954,0,0,0
6665861167213,167,-1.01489,-2.47888,-2.7865,0.116675,-0.16683,-0.767937,-0.607312,0.000965518,0.00128736,-0.00699464,0,0,0
6665861178324,167,-1.01489,-2.4789,-2.78645,0.116577,-0.166903,-0.767912,-0.607342,-0.000750959,-0.00523525,0.00373334,0,0,0
6665861189435,167,-1.01491,-2.47887,-2.78647,0.116553,-0.166709,-0.768005,-0.607282,-0.00454948,0.00103007,0.004807,0,0,0
6665861200546,167,-1.01491,-2.47888,-2.78646,0.116398,-0.167002,-0.76786,-0.607415,-0.00354023,0.00519234,0.00583602,0,0,0
6665861211657,167,-1.01491,-2.47889,-2.78648,0.116894,-0.166827,-0.767868,-0.607358,0.00165241,-0.00214598,-0.00137343,0,0,0
6665861222768,167,-1.01492,-2.4789,-2.78647,0.116517,-0.1665,-0.768027,-0.607318,-0.00315459,-0.00214598,0.0028327,0,0,0
6665861233903,167,-1.01493,-2.47889,-2.78648,0.116657,-0.1669,-0.767898,-0.607346,0.00405983,-0.00076923,-0.00141026,0,0,0
6665861245014,167,-1.0149,-2.47891,-2.7865,0.116639,-0.166915,-0.767833,-0.607427,0.00225288,-0.00437702,-0.00317548,0,0,0
6665861256125,167,-1.01493,-2.47889,-2.78647,0.116574,-0.166792,-0.767969,-0.607301,0.00175939,-0.00429119,-0.000729503,0,0,0
6665861267236,167,-1.01491,-2.47889,-2.78648,0.116884,-0.166553,-0.767947,-0.607335,0.00403372,-0.00283219,-0.00236016,0,0,0
6665861278347,167,-1.01492,-2.47885,-2.78648,0.116573,-0.166467,-0.76799,-0.607363,0.000128736,0.00326131,-0.00553564,0,0,0
6665861289458,167,-1.01492,-2.47887,-2.78645,0.116468,-0.166397,-0.767999,-0.607392,0.000514943,0.000944062,0.0036046,0,0,0
6665861300568,167,-1.0149,-2.47888,-2.78649,0.116673,-0.166909,-0.767903,-0.607334,0.000536495,-0.00497868,-0.0041632,0,0,0
